benchmark,walltime,cputime,memory,blkio-read,blkio_write,pressure-cpu-some,pressure-io-some,pressure-memory-some
600.perlbench_s,311.87274320801953,305.576886,515100672.0,118808576.0,770048.0,0.027691,3.677405,0.0
600.perlbench_s,310.94099065999035,304.827427,514387968.0,118992896.0,753664.0,0.032697,3.960535,0.0
600.perlbench_s,311.256476073002,305.380483,514895872.0,118218752.0,770048.0,0.028409,3.796324,0.0
600.perlbench_s,312.6063180929632,306.445395,514772992.0,118816768.0,778240.0,0.031406,3.679049,0.0
600.perlbench_s,314.0077876530122,307.669345,515375104.0,118661120.0,286720.0,0.058001,3.951392,0.0
602.gcc_s,436.4598508430063,429.9818,8414801920.0,159760384.0,573440.0,0.045914,3.337856,0.0
602.gcc_s,453.928288961004,447.655322,8414937088.0,244056064.0,589824.0,0.049409,3.440635,0.0
602.gcc_s,455.9284394439892,449.600591,8414490624.0,244002816.0,217088.0,0.052886,4.214316,0.0
602.gcc_s,456.14321322197793,449.987326,8414183424.0,244023296.0,589824.0,0.044432,3.139201,0.0
602.gcc_s,454.68356111098547,448.422564,8414793728.0,244133888.0,589824.0,0.034426,3.022487,0.0
620.omnetpp_s,416.58695740497205,410.781692,572882944.0,115757056.0,225280.0,0.048477,2.998152,0.0
620.omnetpp_s,416.0030947540072,410.129834,572821504.0,115400704.0,196608.0,0.027309,4.216335,0.0
620.omnetpp_s,414.3030853050295,408.478444,572641280.0,115625984.0,180224.0,0.026546,3.032148,0.0
620.omnetpp_s,420.97375811298843,415.331469,572682240.0,115515392.0,180224.0,0.042764,3.932367,0.0
620.omnetpp_s,415.78876156097976,409.949144,572735488.0,115613696.0,180224.0,0.022656,3.34171,0.0
623.xalancbmk_s,309.58679742499953,302.523504,1073516544.0,317886464.0,602112.0,0.037567,4.672544,0.0
623.xalancbmk_s,309.9332217450137,302.459387,1072930816.0,317800448.0,569344.0,0.030854,4.509558,0.0
623.xalancbmk_s,311.88293004001025,304.897439,1073405952.0,317759488.0,573440.0,0.043299,4.577754,0.0
623.xalancbmk_s,317.8452490599593,306.810799,1072807936.0,316764160.0,569344.0,0.048777,6.195945,0.0
623.xalancbmk_s,313.8125747650047,306.976019,1073012736.0,317587456.0,569344.0,0.052928,3.518698,0.0
631.deepsjeng_s,336.8257337460527,331.082583,7439233024.0,36384768.0,110592.0,0.021145,3.591627,0.0
631.deepsjeng_s,336.4162304199999,330.794893,7438950400.0,36302848.0,102400.0,0.029385,3.477488,0.0
631.deepsjeng_s,336.4852201510221,330.852698,7438426112.0,36257792.0,102400.0,0.041683,3.598989,0.0
631.deepsjeng_s,336.5307967860135,330.795905,7438446592.0,36282368.0,249856.0,0.023025,2.305001,0.0
631.deepsjeng_s,336.7699274860206,330.839328,7439683584.0,36388864.0,102400.0,0.026918,3.733967,0.0
641.leela_s,435.2889618870104,429.038567,353484800.0,46080000.0,131072.0,0.046695,3.619102,0.0
641.leela_s,434.4896020590095,428.484764,352514048.0,45854720.0,102400.0,0.036733,3.685394,0.0
641.leela_s,434.13746258895844,428.340565,353759232.0,45948928.0,114688.0,0.043794,3.341052,0.0
641.leela_s,434.2966262550326,428.305586,353869824.0,45977600.0,102400.0,0.03208,3.549852,0.0
641.leela_s,435.0049289680319,428.966505,353636352.0,46080000.0,102400.0,0.034543,3.456215,0.0
648.exchange2_s,190.2427945699892,183.289928,336699392.0,36847616.0,102400.0,0.030033,3.058,0.0
648.exchange2_s,188.79912194696954,182.538421,336642048.0,37171200.0,102400.0,0.017595,2.87664,0.0
648.exchange2_s,189.49932531802915,183.300113,337289216.0,37134336.0,102400.0,0.020073,3.725182,0.0
648.exchange2_s,189.17780725698685,182.916957,336662528.0,37158912.0,102400.0,0.024418,3.770863,0.0
648.exchange2_s,189.7607105030329,183.651155,337231872.0,37257216.0,102400.0,0.017229,3.415651,0.0
998.specrand_is,8.89216305402806,3.633342,242716672.0,36364288.0,0.0,0.011089,2.822027,0.0
998.specrand_is,8.520463566004764,3.330787,242380800.0,36282368.0,0.0,0.01127,3.161372,0.0
998.specrand_is,8.608685342012905,3.425029,242286592.0,36229120.0,0.0,0.009551,2.260233,0.0
998.specrand_is,8.641312865016516,3.410086,242520064.0,36270080.0,0.0,0.01071,3.088938,0.0
998.specrand_is,8.943924988037907,3.621522,242585600.0,36364288.0,0.0,0.010815,3.108103,0.0
