benchmark,walltime,cputime,memory,blkio-read,blkio_write,pressure-cpu-some,pressure-io-some,pressure-memory-some
600.perlbench_s,315.45236566197127,305.752357,494366720.0,4812800.0,770048.0,0.069658,2.121429,0.0
600.perlbench_s,315.6324972450384,306.025009,494542848.0,4812800.0,770048.0,0.082441,2.301337,0.0
600.perlbench_s,315.062701051007,306.705271,494637056.0,4812800.0,774144.0,0.077748,2.078176,0.0
600.perlbench_s,316.80964299396146,307.393043,494362624.0,4812800.0,770048.0,0.07893,2.02817,0.0
600.perlbench_s,319.00571881001815,309.524619,494624768.0,4947968.0,491520.0,0.082844,1.856026,0.0
602.gcc_s,457.9384169280529,447.879197,8352989184.0,4947968.0,602112.0,0.084387,2.393991,0.0
602.gcc_s,456.95730003900826,447.504583,8352522240.0,4947968.0,626688.0,0.095634,2.386764,0.0
602.gcc_s,458.1688697459758,448.370372,8352473088.0,4947968.0,344064.0,0.088009,2.171649,0.0
602.gcc_s,457.1779988880153,447.510605,8352530432.0,4947968.0,647168.0,0.084764,1.794984,0.0
602.gcc_s,459.9270008329768,450.070694,8352927744.0,4947968.0,581632.0,0.104913,2.167177,0.0
620.omnetpp_s,420.5586610939936,411.739981,533356544.0,5431296.0,180224.0,0.059985,2.311848,0.0
620.omnetpp_s,417.8343527139514,409.041587,533049344.0,5296128.0,180224.0,0.070608,1.820942,0.0
620.omnetpp_s,416.62792581901886,408.316582,533618688.0,5435392.0,196608.0,0.067144,1.954947,0.0
620.omnetpp_s,416.8162335460074,408.189203,533643264.0,5296128.0,180224.0,0.064402,1.859731,0.0
620.omnetpp_s,417.82100116700167,409.065454,533938176.0,5423104.0,180224.0,0.050623,2.160111,0.0
623.xalancbmk_s,315.9464786290191,305.293466,984059904.0,5165056.0,110592.0,0.077617,2.612379,0.0
623.xalancbmk_s,313.77922327897977,301.271882,983764992.0,5165056.0,569344.0,0.071274,4.16469,0.0
623.xalancbmk_s,315.04833022499224,304.586634,984023040.0,5156864.0,569344.0,0.076519,2.725036,0.0
623.xalancbmk_s,313.71828003803967,303.259608,984117248.0,5165056.0,569344.0,0.067221,1.9137,0.0
623.xalancbmk_s,318.8664882360026,307.679037,984006656.0,5300224.0,593920.0,0.082029,3.167099,0.0
631.deepsjeng_s,339.0149549890193,330.955267,7429582848.0,4952064.0,114688.0,0.038027,1.587594,0.0
631.deepsjeng_s,339.7157822170411,331.316884,7429926912.0,4943872.0,139264.0,0.058826,1.949206,0.0
631.deepsjeng_s,339.9225533439894,331.287137,7429758976.0,4952064.0,118784.0,0.053539,1.74455,0.0
631.deepsjeng_s,339.6351525229984,331.332689,7430647808.0,4952064.0,118784.0,0.040937,1.767389,0.0
631.deepsjeng_s,339.5699539529742,331.356684,7430287360.0,4952064.0,110592.0,0.044073,1.997108,0.0
641.leela_s,436.9857990970486,428.757703,340795392.0,5435392.0,114688.0,0.045769,2.123934,0.0
641.leela_s,436.6783563600038,428.089474,340451328.0,5431296.0,122880.0,0.043723,2.135992,0.0
641.leela_s,436.7175672670128,428.490685,340484096.0,5431296.0,102400.0,0.038047,1.729341,0.0
641.leela_s,437.57170656503877,429.138421,340078592.0,5115904.0,102400.0,0.040104,1.782492,0.0
641.leela_s,437.11743493704125,428.56067,339877888.0,5165056.0,102400.0,0.053799,2.208268,0.0
648.exchange2_s,191.14470616698964,182.752182,328060928.0,6209536.0,102400.0,0.031608,1.874963,0.0
648.exchange2_s,191.9348415459972,183.17454,327925760.0,6344704.0,102400.0,0.035786,2.357634,0.0
648.exchange2_s,192.5672223099973,183.964024,328163328.0,6213632.0,102400.0,0.039856,1.746432,0.0
648.exchange2_s,192.16019948397297,183.512221,327696384.0,6209536.0,102400.0,0.031632,1.713771,0.0
648.exchange2_s,192.2392356870114,183.865879,327909376.0,6344704.0,106496.0,0.030607,1.898975,0.0
998.specrand_is,11.253359729016665,3.641371,234622976.0,4947968.0,0.0,0.027925,1.733277,0.0
998.specrand_is,11.189614119008183,3.453649,234795008.0,4943872.0,0.0,0.021804,1.550801,0.0
998.specrand_is,11.337442818970885,3.525253,234315776.0,4947968.0,0.0,0.023301,1.405636,0.0
998.specrand_is,11.360709907952696,3.678752,234442752.0,4947968.0,0.0,0.020803,1.250565,0.0
998.specrand_is,10.958176409010775,3.342895,234369024.0,4947968.0,0.0,0.028183,1.914645,0.0
